original_category,semantic_group,original_count
"weight","BODY_WEIGHT",49
"PSYCHIATRIC","PSYCHIATRIC",348
"pulmonary","PULMONARY",152
"VACCINATION","VACCINATION",397
"vaccine","VACCINATION",37
"OPHTHALMOLOGIC","OPHTHALMOLOGIC",542
"ocular","OPHTHALMOLOGIC",86
"ocular_condition","OPHTHALMOLOGIC",71
"visual_acuity","OPHTHALMOLOGIC",43
"renal","RENAL",72
"proteinuria","RENAL",43
"transplant","TRANSPLANT",75
"prior_transplant","TRANSPLANT",37
"vascular","VASCULAR",89
"medical_history","MEDICAL_HISTORY",701
"medical","MEDICAL_HISTORY",112
"comorbidity","MEDICAL_HISTORY",267
"medical_condition","MEDICAL_CONDITION",420
"symptoms","MEDICAL_CONDITION",43
"genetic","GENETIC",56
"population","POPULATION",49
"OTHER","OTHER",2262
"general","OTHER",244
"safety","OTHER",95
"toxicity","OTHER",95
"clinical","OTHER",43
"life_expectancy","LIFE_EXPECTANCY",647
"imaging","IMAGING",160
"vital_signs","VITAL_SIGNS",50
"CLINICAL_SCORE","CLINICAL_SCORE",314
"metabolic","METABOLIC",58
