raw_event,sample_count,phase,anchor,seconds_from_anchor
"Optl Lumbar Puncture & Blood Coll",37,PROCEDURE,,
"OL Day 1RT4D1",37,,,
"Infusion 1 and 2 visit Maternal",37,ON_TREATMENT,,
"PD1 DAY 4",37,,,
"OL Day 15 RT4D15",37,,,
"C3D1 Atezo+Bev+TCZ",37,ON_TREATMENT,CYCLE_3,0
"A/B-4WK FOLLOW UP #4",37,FOLLOW_UP,,
"C1D11B",37,ON_TREATMENT,CYCLE_1,864000
"Week 140",37,ON_TREATMENT,BASELINE,84672000
"CD70PB",37,,,
"SFU WEEK 72",37,ON_TREATMENT,BASELINE,43545600
"T1_DAY15",37,,,
"Unscheduled UNSCH2",37,UNSCHEDULED,,
"TUMOUR RESPONSE",37,,,
"12 Week Safety Follow Up",37,FOLLOW_UP,,
"Unscheduled or Retest Day 1",37,UNSCHEDULED,,
"Fresh Biopsy Blood Biomarker",37,PROCEDURE,,
"4 WK FOLLOW UP",37,FOLLOW_UP,,
"Week 6 Day 1",37,ON_TREATMENT,BASELINE,3628800
"T2_DAY196",37,,,
"ARM B/F/G C6D1",37,ON_TREATMENT,CYCLE_6,0
"Re-treatment D15",37,ON_TREATMENT,,
"C67D1",37,ON_TREATMENT,CYCLE_67,0
"Follow Up Year 1",37,FOLLOW_UP,END_OF_TREATMENT,31536000
"C1D15 P2",37,ON_TREATMENT,CYCLE_1,1209600
"D90PB",37,ON_TREATMENT,BASELINE,7776000
"Visit 5 Week 24 Retest",37,ON_TREATMENT,BASELINE,14515200
"CD49PB",37,,,
"P2 Day 15",37,,,
"Day 98",37,ON_TREATMENT,BASELINE,8467200
"Folow Up Week 24",37,ON_TREATMENT,BASELINE,14515200
"Retest C8D1",37,UNSCHEDULED,,
"DAY30MD",37,ON_TREATMENT,BASELINE,2592000
"Retest Cycle 1 Day 1",37,UNSCHEDULED,,
"RESCEU_Vex4",37,,,
"Tumor Assessment Week 156",37,ON_TREATMENT,BASELINE,94348800
"P1 Day 22",37,,,
"Period 1 Week 2",37,ON_TREATMENT,BASELINE,1209600
"Optional Tumor Biopsy",37,PROCEDURE,,
"D70PB",37,ON_TREATMENT,BASELINE,6048000
"Pre-Surgery (EOT)",36,PROCEDURE,,
"Visit 2 224_D4_72 hour post dose",36,ON_TREATMENT,,
"C8D8ABC",36,ON_TREATMENT,CYCLE_8,604800
"C1 D1",36,ON_TREATMENT,CYCLE_1,0
"ATA Post Skin Test Sub Study",36,,,
"DAY141",36,ON_TREATMENT,BASELINE,12182400
"Day 7 Safety Follow Up",36,FOLLOW_UP,,
"C2RD8",36,,,
"WK4 D28 PT 2&3B",36,ON_TREATMENT,BASELINE,2419200
"C21 D1 Pre-dose",36,ON_TREATMENT,CYCLE_21,0
"CD119G",36,,,
"V02.31",36,ON_TREATMENT,,
"Year 1 Week 64",36,ON_TREATMENT,BASELINE,38707200
"Cycle 7 Treatment Week 12 Post Day 1 Infusion",36,ON_TREATMENT,BASELINE,7257600
"DAY 63",36,ON_TREATMENT,BASELINE,5443200
"BD70PB",36,,,
"Week 35",36,ON_TREATMENT,BASELINE,21168000
"Day 14-15",36,ON_TREATMENT,BASELINE,1209600
"Cycle 74 Day 1",36,ON_TREATMENT,CYCLE_74,0
"CAPCTDNAW78",36,ON_TREATMENT,BASELINE,47174400
"D28IB",36,ON_TREATMENT,BASELINE,2419200
"CD133PB",36,,,
"CYCLE7_DAY15",36,ON_TREATMENT,CYCLE_7,1209600
"RESCEU_V4",36,,,
"Day 4 to Day 5",36,ON_TREATMENT,BASELINE,345600
"Target Dose 1 Day 9",36,ON_TREATMENT,,
"TREATMENT DISC",36,ON_TREATMENT,,
"CD25PB",36,,,
"Period 3 Week 1",36,ON_TREATMENT,BASELINE,604800
"Add.Cycle Treat. 12W PostDay 1 Inf.",36,,,
"DAY1_2HR_POST",36,ON_TREATMENT,BASELINE,86400
"C1D8 P1B SC",36,ON_TREATMENT,CYCLE_1,604800
"Visit 1 204_D1_2 hour post dose",36,ON_TREATMENT,,
"D24PB",36,ON_TREATMENT,BASELINE,2073600
"Period 1 Day 21",36,ON_TREATMENT,,
"Cycle 14 Day 21",36,ON_TREATMENT,CYCLE_14,1728000
"CD35IB",36,,,
"FU 1",36,FOLLOW_UP,,
"WK 39*",36,ON_TREATMENT,BASELINE,23587200
"FU 60 WEEKS",36,FOLLOW_UP,,
"DISEASE PROGRESSION",36,DISEASE_PROGRESSION,,
"C1D2 PRE",36,ON_TREATMENT,CYCLE_1,86400
"CYC3_D2",36,ON_TREATMENT,CYCLE_3,86400
"Cycle 5 Day 9",36,ON_TREATMENT,CYCLE_5,691200
"Cycle 2 Day 1 D",36,ON_TREATMENT,CYCLE_2,0
"Cycle 1 Week 12",36,ON_TREATMENT,BASELINE,7257600
"MAINTENANCE CYCLE 3",36,,,
"WGSSCREEN",36,,,
"Disease Progression or Recurrence",36,DISEASE_PROGRESSION,,
"CD119GB",36,,,
"MONTH36IGEC",36,ON_TREATMENT,BASELINE,93312000
"Period 2 Day 14",36,ON_TREATMENT,,
"CD11PB",36,,,
"Retreat FU wk 84",36,ON_TREATMENT,BASELINE,50803200
"Day 1 - Day 2",36,ON_TREATMENT,BASELINE,86400
"End of Cycle 8",36,,,
"DAY127",36,ON_TREATMENT,BASELINE,10972800
"C1D2M",35,ON_TREATMENT,CYCLE_1,86400
"Period 1 Day 27",35,ON_TREATMENT,,
"Tumor Assessment Week 4",35,ON_TREATMENT,BASELINE,2419200
"MTD_DAY15",35,,,
"CD56GB",35,,,
"EOS FU or Withdrawal from Study",35,END_OF_TREATMENT,,
"Day 16 PREDOSE",35,ON_TREATMENT,BASELINE,1382400
"DOSED",35,ON_TREATMENT,,
"Retest C2D1",35,UNSCHEDULED,,
"RT 7 DAY 1",35,ON_TREATMENT,CYCLE_7,0
"SARS-COV2 Vaccine Before Vaccination",35,,,
"C16 D1 Pre-dose",35,ON_TREATMENT,CYCLE_16,0
"End of Treatement",35,,,
"WK11",35,ON_TREATMENT,BASELINE,6652800
"Retreatment Week 60",35,ON_TREATMENT,BASELINE,36288000
"Cycle 88 Day 1",35,ON_TREATMENT,CYCLE_88,0
"C4 D1 Pre-dose",35,ON_TREATMENT,CYCLE_4,0
"Prior to Start of Dopaminergic Week 96",35,ON_TREATMENT,BASELINE,58060800
"Week 1/Day 4 B",35,ON_TREATMENT,BASELINE,604800
"Retest C16D1",35,UNSCHEDULED,,
"Month 63 Follow Up",35,FOLLOW_UP,END_OF_TREATMENT,163296000
"CRS Event",35,,,
"RT 7",35,,,
"Period 2  Day 11",35,ON_TREATMENT,,
"WK 104 RE-TRT 4 (or WITHDRAWAL)",35,END_OF_TREATMENT,,
"9",35,,,
"Period 4  Day 1 8h",35,ON_TREATMENT,,
"Follow Up Visit 2 Month 33",35,FOLLOW_UP,END_OF_TREATMENT,85536000
"BD90IB",35,,,
"PTUNSCHED",35,,,
"ON-TREATMENT",35,ON_TREATMENT,,
"Cycle 57 Day 1",35,ON_TREATMENT,CYCLE_57,0
"Day 7 12H",35,ON_TREATMENT,BASELINE,604800
"C2D2B",35,ON_TREATMENT,CYCLE_2,86400
"CYCLE1_DAY3_4",35,ON_TREATMENT,CYCLE_1,172800
"SFU24WKS",35,FOLLOW_UP,,
"BD28IB",35,,,
"C5D1 PREDOSE AMEND",35,ON_TREATMENT,CYCLE_5,0
"C11D1B",35,ON_TREATMENT,CYCLE_11,0
"Tumor Assessment Month 18",35,ON_TREATMENT,BASELINE,46656000
"Week 232SUPP",34,ON_TREATMENT,BASELINE,140313600
"M4",34,,,
"Consolidation Cycle 2 Day 1",34,ON_TREATMENT,CYCLE_2,0
"120 Days",34,,,
"3‑Month Safety Follow Up",34,FOLLOW_UP,,
"C3D22",34,ON_TREATMENT,CYCLE_3,1814400
"C1D6",34,ON_TREATMENT,CYCLE_1,432000
"P1 C1D2 (IMMUNO)",34,ON_TREATMENT,CYCLE_1,86400
"On Treatment Day 308",34,ON_TREATMENT,,
"BD28PB",34,,,
"Maintenance Post-Consolidation Cycle 4 Day 1",34,ON_TREATMENT,CYCLE_4,0
"Period 2 Day 10",34,ON_TREATMENT,,
"Cycle 35 Day 15",34,ON_TREATMENT,CYCLE_35,1209600
"Visit  247_D3_48 hour post dose",34,ON_TREATMENT,,
"CYCLE1_DAY5_6",34,ON_TREATMENT,CYCLE_1,345600
"BD0P5B",34,,,
"Not Specfified",34,,,
"Visit 1 206_D1_4 hour post dose",34,ON_TREATMENT,,
"Week 102",34,ON_TREATMENT,BASELINE,61689600
"TAD4",34,,,
"Follow Up Week 81",34,FOLLOW_UP,END_OF_TREATMENT,48988800
"Week 264",34,ON_TREATMENT,BASELINE,159667200
"Visit 2 213_D1_predose",34,ON_TREATMENT,,
"Visit 3 227_D1_1 hour post dose",34,ON_TREATMENT,,
"Prior to Start of Dopaminergic Week 56",34,ON_TREATMENT,BASELINE,33868800
"Part 1 Cycle 10 Day 1",34,ON_TREATMENT,CYCLE_10,0
"Week 4 M1+2 Day 22 UR PK",34,ON_TREATMENT,BASELINE,2419200
"Visit 55 Unscheduled or Retest",34,UNSCHEDULED,,
"Period 2  Day 13",34,ON_TREATMENT,,
"BD0IB",34,,,
"C1D15 P1 DOUBLE",34,ON_TREATMENT,CYCLE_1,1209600
"Period 2  Day 8",34,ON_TREATMENT,,
"C3D7",34,ON_TREATMENT,CYCLE_3,518400
"C20 D1 Pre-dose",34,ON_TREATMENT,CYCLE_20,0
"Prior to Start of Dopaminergic Week 104",34,ON_TREATMENT,BASELINE,62899200
"Day 88",34,ON_TREATMENT,BASELINE,7603200
"C22D1 PREDOSE",34,ON_TREATMENT,CYCLE_22,0
"Whole Blood for RBR",34,,,
"EOSFU",34,,,
"Alternate Schedule Cycle 1 Day 15",34,ON_TREATMENT,CYCLE_1,1209600
"CYCLE 81 DAY 1",34,ON_TREATMENT,CYCLE_81,0
"C7 D1 Pre-dose",34,ON_TREATMENT,CYCLE_7,0
"Day 1 to Day 2",34,ON_TREATMENT,BASELINE,86400
"D24",34,ON_TREATMENT,BASELINE,2073600
"Visit 59 Unscheduled or Retest",34,UNSCHEDULED,,
"RETEST - C2D1",34,UNSCHEDULED,,
"Implant Post Refill Month 6 Day 7",34,PROCEDURE,,
"BD21PB",34,,,
"Week 177",34,ON_TREATMENT,BASELINE,107049600
"Early Termination Day 337",34,END_OF_TREATMENT,,
"Following Treated Bleed - Mobile Nursing",34,,,
"Day 504",34,ON_TREATMENT,BASELINE,43545600
"Implant Month 26",34,PROCEDURE,,
"CD91GB",34,,,
"C10 D1 Pre-dose",34,ON_TREATMENT,CYCLE_10,0
"BD0P3B",34,,,
"Tumor Assessment Week 93",33,ON_TREATMENT,BASELINE,56246400
"WEEK7",33,ON_TREATMENT,BASELINE,4233600
"DAY 85 SKIN BIOPSY",33,PROCEDURE,,
"Week 14 Retest",33,ON_TREATMENT,BASELINE,8467200
"Day 6 PREDOSE",33,ON_TREATMENT,BASELINE,518400
"OLRT4",33,,,
"Visit 1 207_D1_6 hour post dose",33,ON_TREATMENT,,
"D38PB",33,ON_TREATMENT,BASELINE,3283200
"Cycle 02 Day 01 and Cycle 04 Day 01 Control",33,ON_TREATMENT,CYCLE_2,0
"C3D14",33,ON_TREATMENT,CYCLE_3,1123200
"C84D1",33,ON_TREATMENT,CYCLE_84,0
"Cycle 14 Day 2",33,ON_TREATMENT,CYCLE_14,86400
"Cycle 35 Day 2",33,ON_TREATMENT,CYCLE_35,86400
"WEEK96",33,ON_TREATMENT,BASELINE,58060800
"C3D1 Atezo+Bev+TPST-1120",33,ON_TREATMENT,CYCLE_3,0
"A-END OF COMBO",33,,,
"0",33,,,
"C1D16A",33,ON_TREATMENT,CYCLE_1,1296000
"Screening SM6/ Serum PD",33,SCREENING,SCREENING,0
"Week 49 Day 257",33,ON_TREATMENT,BASELINE,29635200
"48 WEEKS (CYCLE 17)",33,,,
"On Progression",33,DISEASE_PROGRESSION,,
"Part 1 SAD Day -1",33,,,
"Week 9999",33,ON_TREATMENT,BASELINE,6047395200
"Early Termination Day 253",33,END_OF_TREATMENT,,
"DAY 15 RE-TRT",33,ON_TREATMENT,BASELINE,1296000
"Post treatment visit 5",33,FOLLOW_UP,,
"BD60IB",33,,,
"VISIT10",33,ON_TREATMENT,,
"C5D2",33,ON_TREATMENT,CYCLE_5,86400
"Safety Follow Up Visit",33,FOLLOW_UP,,
"Visit 2 216_D1_2 hour post dose",33,ON_TREATMENT,,
"C2PRE",33,,,
"Week 243 on treatment",33,ON_TREATMENT,BASELINE,146966400
"Bridging Dose Day 239",33,ON_TREATMENT,,
"UNSCH EOS",33,UNSCHEDULED,,
"Surgical Intervention",33,,,
"M1/ V4",33,,,
"C11 D1 Pre-dose",33,ON_TREATMENT,CYCLE_11,0
"BRWEEK4",33,ON_TREATMENT,BASELINE,2419200
"Post Treatment Follow Up Month 3",33,FOLLOW_UP,END_OF_TREATMENT,7776000
"Day 10 PREDOSE",33,ON_TREATMENT,BASELINE,864000
"Day 2 to Day 3",33,ON_TREATMENT,BASELINE,172800
"Cycle 16 Day 22 to 28",33,ON_TREATMENT,CYCLE_16,1814400
"Tumor Assessment Week 84",33,ON_TREATMENT,BASELINE,50803200
"Withdrawal Visit Double Blind Period",33,END_OF_TREATMENT,,
"Day15",33,ON_TREATMENT,BASELINE,1296000
"Day 9 PREDOSE",33,ON_TREATMENT,BASELINE,777600
"120 days after last dose",33,ON_TREATMENT,,
"ARCHIVAL",33,ARCHIVAL,,
"Day 7 0.5H",33,ON_TREATMENT,BASELINE,604800
"CD91PB",33,,,
"4WFU",32,,,
"CD60PB",32,,,
"Visit 2 223_D3_48 hour post dose",32,ON_TREATMENT,,
"CYCLE 2 DAY 29",32,ON_TREATMENT,CYCLE_2,2419200
"DAY148",32,ON_TREATMENT,BASELINE,12787200
"WEEK 54",32,ON_TREATMENT,BASELINE,32659200
"FU 96 WEEKS",32,FOLLOW_UP,,
"Period 2 Day 7",32,ON_TREATMENT,,
"Visit 2 217_D1_3 hour post dose",32,ON_TREATMENT,,
"Safety Study PK",32,,,
"ARM A/D/E C1D1",32,ON_TREATMENT,CYCLE_1,0
"CD39PB",32,,,
"End of C4",32,,,
"Visit 1 203_D1_1 hour post dose",32,ON_TREATMENT,,
"MTD_DAY1",32,,,
"EX CYCLE 1 DAY 1 COH",32,ON_TREATMENT,CYCLE_1,0
"Tumor Assessment Week 120",32,ON_TREATMENT,BASELINE,72576000
"Implant Post Refill Month 6 Day 1",32,PROCEDURE,,
"C4D1 PRE P1B SC",32,ON_TREATMENT,CYCLE_4,0
"Post treatment visit 6",32,FOLLOW_UP,,
"Day 560",32,ON_TREATMENT,BASELINE,48384000
"Week 248",32,ON_TREATMENT,BASELINE,149990400
"C8D6",32,ON_TREATMENT,CYCLE_8,432000
"WEEK25",32,ON_TREATMENT,BASELINE,15120000
"SM Baseline",32,BASELINE,BASELINE,0
"Cycle 1 Day 20",32,ON_TREATMENT,CYCLE_1,1641600
"Visit  242_D1_4 hour post dose",32,ON_TREATMENT,,
"C12 D1 Pre-dose",32,ON_TREATMENT,CYCLE_12,0
"WEEK49",32,ON_TREATMENT,BASELINE,29635200
"WEEK 80",32,ON_TREATMENT,BASELINE,48384000
"C78D1",32,ON_TREATMENT,CYCLE_78,0
"P1 Day1",32,,,
"Maintenance Dose-Escalation Cycle 1 Day 1",32,ON_TREATMENT,CYCLE_1,0
"Week 111",32,ON_TREATMENT,BASELINE,67132800
"C1 D1 6H",32,ON_TREATMENT,CYCLE_1,21600
"Visit 3 228_D1_2 hour post dose",32,ON_TREATMENT,,
"MTD_DAY28",32,,,
"BEC1D17",32,ON_TREATMENT,CYCLE_1,1382400
"Extramedullary Biopsy",32,PROCEDURE,,
"CYCLE33_DAY1",32,ON_TREATMENT,CYCLE_33,0
"BD0P2B",32,,,
"FOLLOW-UP_1",32,FOLLOW_UP,,
"DE_DAY3",32,,,
"Part A Day 3",32,,,
"DAY 197",32,ON_TREATMENT,BASELINE,17020800
"Bridging Dose Day 225",32,ON_TREATMENT,,
"D1 FESHIGH",32,ON_TREATMENT,BASELINE,86400
"CONTROL",32,,,
"21  RT  1 DAY 1",32,,,
"D7/ V3",32,ON_TREATMENT,BASELINE,604800
"WEEK_207_ON-TX",32,ON_TREATMENT,BASELINE,125193600
"C82D1",32,ON_TREATMENT,CYCLE_82,0
"DAY1_PRE",32,ON_TREATMENT,BASELINE,86400
"Visit 2 218_D1_4 hour post dose",32,ON_TREATMENT,,
"CD91T",32,,,
"DAY169",32,ON_TREATMENT,BASELINE,14601600
"Period 1 Day 17",32,ON_TREATMENT,,
"BD52PB",32,,,
"Tumor Assessment Week 15",31,ON_TREATMENT,BASELINE,9072000
"Study Completion-ET",31,END_OF_TREATMENT,,
"CD18PB",31,,,
"Visit 1 208_D1_8 hour post dose",31,ON_TREATMENT,,
"CYCLE13_DAY8",31,ON_TREATMENT,CYCLE_13,604800
"PD2 DAY 10",31,,,
"BD24PB",31,,,
"Prior to Start of Dopaminergic Week 88",31,ON_TREATMENT,BASELINE,53222400
"Maintenance Post-Consolidation Cycle 1 Day 1",31,ON_TREATMENT,CYCLE_1,0
"Visit 3 232_D1_8 hour post dose",31,ON_TREATMENT,,
"FU 108 WEEKS",31,FOLLOW_UP,,
"SFUW12",31,ON_TREATMENT,BASELINE,7257600
"A C",31,,,
"NP41300 KIT 21|RBR (SALIVA)|IRR / HS / AE PROTOCOL V2 PART B",31,,,
"Visit 19 Week 70 Retest",31,ON_TREATMENT,BASELINE,42336000
"Maintenance Post-Consolidation Cycle 2 Day 1",31,ON_TREATMENT,CYCLE_2,0
"M3/ V6",31,,,
"P2 Day 22",31,,,
"BD60PB",31,,,
"Part 1 SAD Day 2",31,,,
"Day -29 to Day -2",31,ON_TREATMENT,BASELINE,2505600
"Period 2 Week 2",31,ON_TREATMENT,BASELINE,1209600
"DAY1 2.5HR-POST 1",31,ON_TREATMENT,BASELINE,86400
"CYCLE11_DAY15",31,ON_TREATMENT,CYCLE_11,1209600
"Step-up Dose 2 Day 4",31,ON_TREATMENT,,
"Annual 1 Dose Day",31,ON_TREATMENT,,
"W3SRI",31,ON_TREATMENT,BASELINE,1814400
"Period 1 Day 19",31,ON_TREATMENT,,
"Week 3/Day 2 A",31,ON_TREATMENT,BASELINE,1814400
"DAY197",31,ON_TREATMENT,BASELINE,17020800
"Visit 3 229_D1_3 hour post dose",31,ON_TREATMENT,,
"Visit 1 210_D2_24 hour post dose",31,ON_TREATMENT,,
"Optional Plasma",31,,,
"DAY 1 RE-TRT 10",31,ON_TREATMENT,BASELINE,86400
"D10 MAD",31,ON_TREATMENT,BASELINE,864000
"DAY1 6HR-POST 1",31,ON_TREATMENT,BASELINE,86400
"1LTXMEV910",31,,,
"CYCLE11_DAY8",31,ON_TREATMENT,CYCLE_11,604800
"C1D8 P2",31,ON_TREATMENT,CYCLE_1,604800
"C5D1A",31,ON_TREATMENT,CYCLE_5,0
"S2C1D1",31,ON_TREATMENT,CYCLE_1,0
"Prior to Start of Dopaminergic Week 12",31,ON_TREATMENT,BASELINE,7257600
"P2B Day 23",31,,,
"C1D1 3HR P1B",31,ON_TREATMENT,CYCLE_1,10800
"Visit 13 (FU Wk13)",31,ON_TREATMENT,BASELINE,7862400
"Vex2",31,,,
"Cycle 15 Day 5",31,ON_TREATMENT,CYCLE_15,345600
"C4D25",31,ON_TREATMENT,CYCLE_4,2073600
"End of Treatment Visit",31,END_OF_TREATMENT,,
"Cycle 86 Day 1",31,ON_TREATMENT,CYCLE_86,0
"Visit 9 Week 32",31,ON_TREATMENT,BASELINE,19353600
"End of OLE",30,,,
"Day 47",30,ON_TREATMENT,BASELINE,4060800
"MONOTHERAPY4",30,,,
"1LTXMEV92",30,,,
"Period 2  Day 12",30,ON_TREATMENT,,
"V03.10",30,ON_TREATMENT,,
"COVID-19 vaccine RUO COVB1",30,,,
"126",30,,,
"Visit 2 222_D2_24 hour post dose",30,ON_TREATMENT,,
"CYCLE 3 DAY 29",30,ON_TREATMENT,CYCLE_3,2419200
"DAY18MD",30,ON_TREATMENT,BASELINE,1555200
"Week 12/Day 7 B",30,ON_TREATMENT,BASELINE,7257600
"DAY1 3HR-POST 1",30,ON_TREATMENT,BASELINE,86400
"WK8 D56 PT 2&3B",30,ON_TREATMENT,BASELINE,4838400
"OLE Week 52 Year 1",30,ON_TREATMENT,BASELINE,31449600
"36 WEEKS (CYCLE 19)",30,,,
"BD38PB",30,,,
"Week 320",30,ON_TREATMENT,BASELINE,193536000
"Dosing Term/Early Term",30,,,
"Cycle 20 Day 22 to 28",30,ON_TREATMENT,CYCLE_20,1814400
"Visit 11 Week 48",30,ON_TREATMENT,BASELINE,29030400
"D38",30,ON_TREATMENT,BASELINE,3283200
"Screening Combo Arm A",30,SCREENING,SCREENING,0
"BD1PB",30,,,
"BD120IB",30,,,
"Month 18",30,ON_TREATMENT,BASELINE,46656000
"DE_DAY31",30,,,
"CYCLE15_DAY8",30,ON_TREATMENT,CYCLE_15,604800
"Week 228",30,ON_TREATMENT,BASELINE,137894400
"PRE-TREATMENT(HISTOL",30,ON_TREATMENT,,
"COURSE3",30,,,
"D29 Skin Biopsy",30,PROCEDURE,,
"Biomarker Treatment Discontinuation",30,END_OF_TREATMENT,,
"CYCLE18_DAY8",30,ON_TREATMENT,CYCLE_18,604800
"Tumor Assessment Week 168",30,ON_TREATMENT,BASELINE,101606400
"Week 3/Day 2 B",30,ON_TREATMENT,BASELINE,1814400
"Safety Follow-up",30,FOLLOW_UP,,
"12 Week Follow Up Week 100",30,FOLLOW_UP,END_OF_TREATMENT,60480000
"609",30,,,
"WK4 D28 4H P2",30,ON_TREATMENT,BASELINE,2419200
"Visit 3 235_D3_48 hour post dose",30,ON_TREATMENT,,
"OLE Dosing Term or Early Term",30,,,
"24 Week B-Cell Monitoring",30,,,
"D90IB",30,ON_TREATMENT,BASELINE,7776000
"C2D9D",30,ON_TREATMENT,CYCLE_2,691200
"Step-up Dose 2 Day 5",30,ON_TREATMENT,,
"Day22",30,ON_TREATMENT,BASELINE,1900800
"Week 15 Retest",30,ON_TREATMENT,BASELINE,9072000
"CYCLE26_DAY1",30,ON_TREATMENT,CYCLE_26,0
"ETREC",30,,,
"PK Week 36",30,ON_TREATMENT,BASELINE,21772800
"Visit 2 215_D1_1 hour post dose",30,ON_TREATMENT,,
"WITHDRAWLBSR1",30,,,
"C1D15D",30,ON_TREATMENT,CYCLE_1,1209600
"MONOTHERAPY5",30,,,
"Period 1  Day 6",30,ON_TREATMENT,,
"SAFETY_FU_5",30,FOLLOW_UP,,
"CYCLE 2 DAY 3",30,ON_TREATMENT,CYCLE_2,172800
"BD7PB",29,,,
"DE_DAY30",29,,,
"Day 5 Part 1",29,ON_TREATMENT,BASELINE,432000
"Part 1 Cycle 6 Day 1",29,ON_TREATMENT,CYCLE_6,0
"PK Week 24 P",29,ON_TREATMENT,BASELINE,14515200
"BD3PB",29,,,
"WK35 D245 PRE P2",29,ON_TREATMENT,BASELINE,21168000
"PART I: C2D9",29,ON_TREATMENT,CYCLE_2,691200
"End of Observation",29,,,
"Bronchoscopy",29,PROCEDURE,,
"Visit 1 209_D1_12 hour post dose",29,ON_TREATMENT,,
"CYCLE16_DAY8",29,ON_TREATMENT,CYCLE_16,604800
"P2B Day 85 FollowUp",29,FOLLOW_UP,,
"P2B Day -1",29,,,
"C1D1 Atezo Control",29,ON_TREATMENT,CYCLE_1,0
"6WFU",29,,,
"D90 POST TREAT DISC/",29,ON_TREATMENT,BASELINE,7776000
"Visit 12 Week 0 Retest",29,ON_TREATMENT,BASELINE,0
"CYCLE17_DAY8",29,ON_TREATMENT,CYCLE_17,604800
"610",29,,,
"DLBCL C2D1",29,ON_TREATMENT,CYCLE_2,0
"Screening/Baseline Maternal",29,SCREENING,SCREENING,0
"Retreat FU wk 96",29,ON_TREATMENT,BASELINE,58060800
"C5 D1 Pre-dose",29,ON_TREATMENT,CYCLE_5,0
"Cycle 2 Day 8 (Arm AB)",29,ON_TREATMENT,CYCLE_2,604800
"DAY32MD",29,ON_TREATMENT,BASELINE,2764800
"Cycle 9 Day 2",29,ON_TREATMENT,CYCLE_9,86400
"Infusion Related Reaction (Unscheduled)",29,UNSCHEDULED,,
"Cycle 18 Day 8",29,ON_TREATMENT,CYCLE_18,604800
"PK Week 24 R",29,ON_TREATMENT,BASELINE,14515200
"P4",29,,,
"DE_DAY29",29,,,
"CD91IB",29,,,
"Cycle 35 Day 43",29,ON_TREATMENT,CYCLE_35,3628800
"Cycle 1 Day 9 (Arm AB)",29,ON_TREATMENT,CYCLE_1,691200
"Safety FU Week 13",29,FOLLOW_UP,,
"Retreat 2 wk 60",29,ON_TREATMENT,BASELINE,36288000
"End Of Treatment",29,END_OF_TREATMENT,,
"DAY 15 RE-TRT 7",29,ON_TREATMENT,BASELINE,1296000
"Visit  238_D1_30 minute post dose",29,ON_TREATMENT,,
"DAY11",29,ON_TREATMENT,BASELINE,950400
"CD81PB",29,,,
"C1D2ABC",29,ON_TREATMENT,CYCLE_1,86400
"Visit 1 201_D1_predose",29,ON_TREATMENT,,
"Cycle 2 Day 8 (Study Day 30)",29,ON_TREATMENT,CYCLE_2,604800
"V02.22",29,ON_TREATMENT,,
"Cycle 2 Day 15 (Study Day 37)",29,ON_TREATMENT,CYCLE_2,1209600
"Tumor Assessment Week 144",29,ON_TREATMENT,BASELINE,87091200
"Day 1 Unscheduled",29,UNSCHEDULED,,
"PD Biopsy Biomarker",29,PROCEDURE,,
"CYCLE29_DAY1",29,ON_TREATMENT,CYCLE_29,0
"Week 12/Day 2 A",29,ON_TREATMENT,BASELINE,7257600
"Cycle 18 Day 29",29,ON_TREATMENT,CYCLE_18,2419200
"Visit 2 219_D1_6 hour post dose",29,ON_TREATMENT,,
"UNSCHEDULED 1",29,UNSCHEDULED,,
"W105",29,ON_TREATMENT,BASELINE,63504000
"Visit 14 Week 12 Retest",29,ON_TREATMENT,BASELINE,7257600
"Baseline SUBSET",28,BASELINE,BASELINE,0
"OPEN_1_OPTION_1",28,,,
"Week 57 Day 393",28,ON_TREATMENT,BASELINE,34473600
"End of Induction Cycle 6 Day 24",28,ON_TREATMENT,CYCLE_6,1987200
"CAPCTDNAW90",28,ON_TREATMENT,BASELINE,54432000
"Fw-up/Year 8",28,ON_TREATMENT,BASELINE,252288000
"Implant Post Refill Month 4 Day 1",28,PROCEDURE,,
"WK14 D98 PT 1&3A",28,ON_TREATMENT,BASELINE,8467200
"Week 4 Day 30",28,ON_TREATMENT,BASELINE,2419200
"Debulking Surgery/Tumor Biopsy",28,PROCEDURE,,
"Unscheduled Day 20",28,UNSCHEDULED,,
"Day -999",28,ON_TREATMENT,BASELINE,86313600
"OLE Week 116",28,ON_TREATMENT,BASELINE,70156800
"Step-up Dose 1 Day 2",28,ON_TREATMENT,,
"D2 FESHIGH",28,ON_TREATMENT,BASELINE,172800
"V2/D1",28,ON_TREATMENT,,
"CYCLE14_DAY15",28,ON_TREATMENT,CYCLE_14,1209600
"Follow-Up Week 12",28,FOLLOW_UP,END_OF_TREATMENT,7257600
"Cycle 1 Day 4 (or 5)",28,ON_TREATMENT,CYCLE_1,259200
"Baseline/ V2",28,BASELINE,BASELINE,0
"BESC",28,,,
"Mid Treatment Response Assessment Cycle 3 Day 22",28,ON_TREATMENT,CYCLE_3,1814400
"Cycle 5 Day 3",28,ON_TREATMENT,CYCLE_5,172800
"Day 2 Part 2",28,ON_TREATMENT,BASELINE,172800
"On Treatment Day 40",28,ON_TREATMENT,,
"C2D1S1NBX",28,ON_TREATMENT,CYCLE_2,0
"BD5PB",28,,,
"Week 7/Day 1 A W/O D",28,ON_TREATMENT,BASELINE,4233600
