original_category,canonical_category,original_count
"immunodeficiency","immunodeficiency",48
"hepatitis_b","hepatitis_b",46
"smoking","smoking",45
"disease_progression","disease_progression",44
"proteinuria","proteinuria",43
"hiv_status","hiv_status",43
"symptoms","symptoms",43
"visual_acuity","visual_acuity",43
"clinical","clinical",43
"cancer_history","cancer_history",42
"cardiac_disease","cardiac_disease",41
"infection_status","infection_status",40
"disease_extent","disease_extent",39
"prior_chemotherapy","prior_chemotherapy",39
"disease_history","disease_history",38
"concomitant_therapy","concomitant_therapy",38
"vaccine","vaccine",37
"prior_transplant","prior_transplant",37
"tuberculosis","tuberculosis",37
"recent_surgery","recent_surgery",36
"concurrent_trial","concurrent_trial",36
"blood_donation","blood_donation",36
"immunotherapy","immunotherapy",36
"pulmonary_disease","pulmonary_disease",36
"diabetes","diabetes",36
"transplantation","transplantation",36
"active_infection","active_infection",36
"hepatitis_c","hepatitis_c",35
"lung_disease","lung_disease",34
"functional_status","functional_status",34
"concurrent_therapy","concurrent_therapy",34
"blood_pressure","blood_pressure",34
"respiratory","respiratory",33
"biopsy","biopsy",33
"specimen","specimen",33
"vascular_disease","vascular_disease",33
"cns_involvement","cns_involvement",32
"virology","virology",32
"gi_complications","gi_complications",32
"Drug Hypersensitivity","Drug Hypersensitivity",31
"timing","timing",31
"adverse_event","adverse_event",31
"concomitant_disease","concomitant_disease",31
"study_compliance","study_compliance",31
"radiation","radiation",30
"investigational_drug","investigational_drug",30
"treatment_eligibility","treatment_eligibility",30
"investigational_agent","investigational_agent",30
"concomitant_treatment","concomitant_treatment",30
"condition","condition",30
"effusion","effusion",30
"treatment_status","treatment_status",30
"coagulopathy","coagulopathy",30
"liver","liver",29
"pregnancy_lactation","pregnancy_lactation",29
"tissue","tissue",28
"systemic_disease","systemic_disease",28
"hematologic_function","hematologic_function",28
"Lab Function","Lab Function",28
"gender","gender",27
"medication_history","medication_history",27
"infectious","infectious",27
"pathology","pathology",27
"hemoptysis","hemoptysis",27
"cardiovascular_disease","cardiovascular_disease",27
"cohort4","cohort4",27
"hemorrhage","hemorrhage",26
"immune_status","immune_status",26
"metastatic_disease","metastatic_disease",26
"cardiac_history","cardiac_history",26
"ocular_surgery","ocular_surgery",26
"protocol_compliance","protocol_compliance",26
"medical_status","medical_status",26
"corticosteroids","corticosteroids",26
"ability","ability",26
"lab_abnormality","lab_abnormality",25
"neurologic","neurologic",25
"hypercalcemia","hypercalcemia",25
"ophthalmological","ophthalmological",25
"prior_toxicity","prior_toxicity",24
"prognosis","prognosis",23
"anthropometric","anthropometric",23
"prior_radiotherapy","prior_radiotherapy",23
"mri_safety","mri_safety",23
"vision","vision",23
"Part 2: CHB Participants","Part 2: CHB Participants",23
"disease_measurability","MEASURABLE_DISEASE",22
"cancer","cancer",22
"physical","physical",22
"tissue_availability","tissue_availability",22
"pain","pain",22
"hypertensive_crisis","hypertensive_crisis",22
"prior_trial","prior_trial",22
"Disease/Condition","Disease/Condition",22
"endocrine","endocrine",21
"immunology","immunology",21
"viral_serology","viral_serology",21
"language","language",21
"gi_disease","gi_disease",20
"enrollment","enrollment",20
"Allergy/Hypersensitivity","Allergy/Hypersensitivity",20
"organ_transplant","organ_transplant",19
"mri_contraindication","mri_contraindication",19
"thromboembolism","thromboembolism",19
"prior_study_participation","prior_study_participation",19
"study_procedures","study_procedures",19
"disease_measurement","disease_measurement",19
"brain_metastases","brain_metastases",19
"prior_radiation","prior_radiation",19
"concurrent_studies","concurrent_study",18
"transplant_status","transplant_status",18
"lab_test","lab_test",18
"treatment_response","treatment_response",18
"bleeding_risk","bleeding_risk",18
"prohibited_medication","prohibited_medication",18
"cancer_specific","cancer_specific",18
"randomization_step2","randomization_step2",18
"wound","wound",17
"hbv","hbv",17
"legal","legal",17
"Minor Surgery","Minor Surgery",17
"cerebrovascular","cerebrovascular",17
"her2_status","her2_status",17
"infection_history","infection_history",17
"recovery","recovery",17
"prior_enrollment","prior_enrollment",17
"cognitive","cognitive",17
"Live Vaccine","Live Vaccine",17
"surgical","surgical",17
"lab_findings","lab_findings",17
"viral_load","viral_load",16
"reproductive_status","reproductive_status",16
"antibiotics","antibiotics",16
"mutation","mutation",16
"hepatic_disease","hepatic_disease",16
"diet","diet",16
"heart_failure","heart_failure",16
"tissue_sample","tissue_sample",16
"drug_sensitivity","drug_sensitivity",16
"clinical_status","clinical_status",16
"Concurrent Ocular Conditions","Concurrent Ocular Conditions",16
"organ_dysfunction","organ_dysfunction",15
"transfusion","transfusion",15
"ophthalmology","ophthalmology",15
"symptom_severity","symptom_severity",15
"disease_criteria","disease_criteria",15
"disease_control","disease_control",15
"assessment","assessment",15
"thrombosis","thrombosis",15
"prior_procedure","prior_procedure",15
"eligibility","eligibility",15
"ocular_disease","ocular_disease",15
"Bevacizumab-Specific Exclusions","Bevacizumab-Specific Exclusions",15
"allergic_reaction","allergic_reaction",15
"prior_studies","prior_study",14
"lung_function","lung_function",14
"bone_marrow_function","bone_marrow_function",14
"ophthalmic","ophthalmic",14
"radiotherapy","radiotherapy",14
"Respiratory disease","Respiratory disease",14
"prior_participation","prior_participation",14
"contraception_male","contraception_male",14
"severity","severity",14
"medical_procedure","medical_procedure",13
"absorption","absorption",13
"tumor_characteristics","tumor_characteristics",13
"fertility","fertility",13
"bleeding_disorder","bleeding_disorder",13
"venous_access","venous_access",13
"disease_burden","disease_burden",13
"major_surgery","major_surgery",13
"contraception_female","contraception_female",13
"crossover_step3","crossover_step3",13
"Pregnancy and Lactation","Pregnancy and Lactation",13
"medical_device","medical_device",12
"hcv","hcv",12
"vascular_access","vascular_access",12
"genetic_mutation","genetic_mutation",12
"prior_trial_participation","prior_trial_participation",12
"investigational_therapy","investigational_therapy",12
"Viral Status","Viral Status",12
"cohort2","cohort2",12
"cardiac_pulmonary","cardiac_pulmonary",12
"nutrition","nutrition",12
"Ocular - Study Eye","Ocular - Study Eye",12
"General Safety","General Safety",12
"procedural","procedural",12
"treatment_plan","treatment_plan",11
"bone_marrow","bone_marrow",11
"coinfection","coinfection",11
"prior_cancer","prior_cancer",11
"cardiac_event","cardiac_event",11
"trauma","trauma",11
"viral_hepatitis","viral_hepatitis",11
"washout","washout",11
"concurrent_illness","concurrent_illness",11
"ascites","ascites",11
"cancer_type","cancer_type",11
"behavioral","behavioral",11
"stroke","stroke",11
"allergy_history","allergy_history",11
"menopausal_status","menopausal_status",11
"prior_investigational_drug","prior_investigational_drug",11
"study_requirement","study_requirement",11
"hemoglobin","hemoglobin",11
"malabsorption","malabsorption",11
"family_history","family_history",10
"disease_confirmation","disease_confirmation",10
"alcohol","alcohol",10
"Prior Transplantation","Prior Transplantation",10
"age_gender","age_gender",10
"fluid_accumulation","fluid_accumulation",10
"metastasis","metastasis",10
"complications","complications",10
"immunostimulatory_agents","immunostimulatory_agents",10
"screening","screening",10
"prior_research","prior_research",10
"Excluded Medications","Excluded Medications",10
"functional","functional",10
"stem_cell_transplant","stem_cell_transplant",10
"administrative","administrative",10
"treatment_timing","treatment_timing",10
"bilirubin","bilirubin",10
"immune","immune",10
"Eye Disease","Eye Disease",10
"cohort3","cohort3",10
"gi_bleeding","gi_bleeding",10
"medication_timing","medication_timing",10
"glaucoma","glaucoma",10
"Myocardial Infarction","Myocardial Infarction",10
"congestive_heart_failure","congestive_heart_failure",10
"Lab Values - Hematologic","Lab Values - Hematologic",10
"Prior Malignancies","prior_malignancy",9
"male_contraception","contraception_male",9
"immunological","immunological",9
"alcohol_use","alcohol_use",9
"medication_stability","medication_stability",9
"prior_disease","prior_disease",9
"leptomeningeal_disease","leptomeningeal_disease",9
"renal_disease","renal_disease",9
"nsaid","nsaid",9
"biospecimen","biospecimen",9
"trial_participation","trial_participation",9
"technology","technology",9
"ethnicity","ethnicity",9
"ocular_inflammation","ocular_inflammation",9
"Drug-Specific (Atezolizumab)","Drug-Specific (Atezolizumab)",9
"tumor_size","tumor_size",9
"seizure","seizure",9
"toxicity_recovery","toxicity_recovery",9
"organ_disease","organ_disease",9
"ocular_infection","ocular_infection",9
"investigator_discretion","investigator_discretion",9
"asthma_specific","asthma_specific",9
"liver_status","liver_status",9
"hospitalization","hospitalization",9
"viral","viral",9
"Stratum S - Lab values","Stratum S - Lab values",9
"opportunistic_infection","opportunistic_infection",8
"ability_to_participate","ability_to_participate",8
"cd4_count","cd4_count",8
"treatment_requirement","treatment_requirement",8
"breastfeeding","breastfeeding",8
"genetic_condition","genetic_condition",8
"cognition","cognition",8
"study_enrollment","study_enrollment",8
"physical_exam","physical_exam",8
"drug_screen","drug_screen",8
"spinal_cord","spinal_cord",8
"electrolytes","electrolytes",8
"thyroid","thyroid",8
"substance","substance",8
"symptom_control","symptom_control",8
"indication","indication",8
"pml","pml",8
"diagnostic_test","diagnostic_test",8
"survival","survival",8
"corticosteroid_use","corticosteroid_use",8
"contraception_women","contraception_women",8
"contraception_men","contraception_men",8
"tissue_requirement","tissue_requirement",8
"surgery_trauma","surgery_trauma",8
"staging","staging",8
"medication_restriction","medication_restriction",8
"prior_treatment_washout","prior_treatment_washout",8
"thromboembolic","thromboembolic",8
"follow_up","follow_up",8
"HIV infection","HIV infection",8
"ophthalmic_pathology","ophthalmic_pathology",8
"other_disease","other_disease",8
"hbv_status","hbv_status",8
"immunosuppressive_medication","immunosuppressive_medication",8
"Part 1: SAD and MAD in Healthy Volunteers","Part 1: SAD and MAD in Healthy Volunteers",8
"Autoimmune disease exceptions","Autoimmune disease exceptions",8
"history","history",7
"metastases","metastases",7
"chemotherapy","chemotherapy",7
"ecog_performance","ecog_performance",7
"hormonal_therapy","hormonal_therapy",7
"pleural_effusion","pleural_effusion",7
"ocular_pathology","ocular_pathology",7
"diagnostic","diagnostic",7
"drug_intolerance","drug_intolerance",7
"disease_location","disease_location",7
"lung","lung",7
"retinal_pathology","retinal_pathology",7
"study_design","study_design",7
"communication","communication",7
"functional_capacity","functional_capacity",7
"prior_study_drugs","prior_study_drugs",7
"Intercurrent Illness","Intercurrent Illness",7
"geographic","geographic",7
"Prior Therapy Timing","Prior Therapy Timing",7
"tumor_location","tumor_location",7
"bleeding_history","bleeding_history",7
"prior_condition","prior_condition",7
"radiation_exposure","radiation_exposure",7
"recent_illness","recent_illness",7
"gi_history","gi_history",7
"anthropometry","anthropometry",7
"cancer_stage","cancer_stage",7
"documentation","documentation",7
"gi_absorption","gi_absorption",7
"antiplatelet","antiplatelet",7
"immunostimulatory","immunostimulatory",7
"skin_condition","skin_condition",7
"kidney_function","kidney_function",7
"ocular_treatment","ocular_treatment",7
"age_and_diagnosis","age_and_diagnosis",7
"platelet_count","platelet_count",7
"other_study","other_study",7
"immunologic","immunologic",7
"Peripheral Vascular Disease","Peripheral Vascular Disease",7
"wash_out_period","wash_out_period",7
"pregnancy_related","pregnancy_related",7
"Lab Values - Hepatic","Lab Values - Hepatic",7
"Concurrent Systemic Conditions","Concurrent Systemic Conditions",7
"planned_treatment","treatment_plan",6
"drug_screening","drug_screen",6
"primary_condition","primary_condition",6
"tumor_tissue","tumor_tissue",6
"hormone_therapy","hormone_therapy",6
"treatment_indication","treatment_indication",6
"disability","disability",6
"study_partner","study_partner",6
"mri","mri",6
"cognitive_status","cognitive_status",6
"psychiatric_history","psychiatric_history",6
"living_situation","living_situation",6
"insurance","insurance",6
"cognitive_assessment","cognitive_assessment",6
"disease_etiology","disease_etiology",6
"blood_products","blood_products",6
"diagnostic_requirements","diagnostic_requirements",6
"cns_condition","cns_condition",6
"surgery_history","surgery_history",6
"sensory","sensory",6
"uncontrolled_condition","uncontrolled_condition",6
"prior_event","prior_event",6
"Severe Infection","Severe Infection",6
"hepatic_encephalopathy","hepatic_encephalopathy",6
"kidney_disease","kidney_disease",6
"surgical_history","surgical_history",6
"healthy_volunteers","healthy_volunteers",6
"ole","ole",6
"platelet","platelet",6
"age_risk_group","age_risk_group",6
"gi_condition","gi_condition",6
"mobility","mobility",6
"recent_treatment","recent_treatment",6
"diagnosis_confirmation","diagnosis_confirmation",6
"other_conditions","other_conditions",6
"pregnancy_prevention","pregnancy_prevention",6
"drug_contraindication","drug_contraindication",6
"medication_administration","medication_administration",6
"prior_anticancer_therapy","prior_anticancer_therapy",6
"smoking_history","smoking_history",6
"stroke_history","stroke_history",6
"lesion_characteristics","lesion_characteristics",6
"Laboratory Functions","Laboratory Functions",6
"lab_abnormalities","lab_abnormality",5
"fever","fever",5
"tumor_type","tumor_type",5
"medication_tolerance","medication_tolerance",5
"medication_contraindication","medication_contraindication",5
"adherence","adherence",5
"Prior monoclonal antibody","Prior monoclonal antibody",5
"symptom_management","symptom_management",5
"disease_stability","disease_stability",5
"risk_assessment","risk_assessment",5
"hepatitis_status","hepatitis_status",5
"cohort_specific","cohort_specific",5
"disease_complication","disease_complication",5
"body_composition","body_composition",5
"dietary_restriction","dietary_restriction",5
"weight_stability","weight_stability",5
"legal_status","legal_status",5
"imaging_contraindication","imaging_contraindication",5
"leptomeningeal","leptomeningeal",5
"stage_2_specific","stage_2_specific",5
"stage","stage",5
"inflammation","inflammation",5
"planned_procedure","planned_procedure",5
"treatment_duration","treatment_duration",5
"transplant_history","transplant_history",5
"illness","illness",5
"donation","donation",5
"prior_drug","prior_drug",5
"social","social",5
"geography","geography",5
"ocular_trauma","ocular_trauma",5
"safety_concern","safety_concern",5
"Drug Metabolism","Drug Metabolism",5
"Lab/Biomarker","Lab/Biomarker",5
"physical_characteristics","physical_characteristics",5
"autoimmune_exceptions","autoimmune_exceptions",5
"suicide_risk","suicide_risk",5
"prior_investigational","prior_investigational",5
"receptor_status","receptor_status",5
"treatment_setting","treatment_setting",5
"tobacco","tobacco",5
"acute_illness","acute_illness",5
"hcv_disease","hcv_disease",5
"mental_health","mental_health",5
"prior_systemic_therapy","prior_systemic_therapy",5
"prior_treatment_timing","prior_treatment_timing",5
"age_and_gender","age_and_gender",5
"medication_allergy","medication_allergy",5
"medication_interaction","medication_interaction",5
"antibody_allergy","antibody_allergy",5
"surgery_recovery","surgery_recovery",5
"active_disease","active_disease",5
"concurrent_condition","concurrent_condition",5
"weight_loss","weight_loss",5
"glucose","glucose",5
"albumin","albumin",5
"glaucoma_surgery","glaucoma_surgery",5
"uncontrolled_disease","uncontrolled_disease",5
"reproduction","reproduction",5
"gastrointestinal_disease","gastrointestinal_disease",5
"cohort1","cohort1",5
"hepatic_patients","hepatic_patients",5
"immunization","immunization",5
"molecular_marker","molecular_marker",5
"ecg","ecg",5
"surgery_timing","surgery_timing",5
"Allergy Testing","Allergy Testing",5
"planned_surgery","planned_surgery",5
"pregnancy_reproductive","pregnancy_reproductive",5
"caregiver","caregiver",5
"pregnancy_and_contraception","pregnancy_and_contraception",5
"co_existing_condition","co_existing_condition",5
"liver_enzymes","liver_enzymes",5
"other_trials","other_trials",5
"procedure_feasibility","procedure_feasibility",5
"oct_safety","oct_safety",5
"bone_disease","bone_disease",5
"refractive_error","refractive_error",5
"uveitis","uveitis",5
"Prior Bevacizumab","Prior Bevacizumab",5
"Chronic Corticosteroids","Chronic Corticosteroids",5
"prior_therapy_washout","prior_therapy_washout",5
"prior_medical_history","prior_medical_history",5
"prior_treatment_phase2a","prior_treatment_phase2a",5
"cancer_diagnosis","cancer_diagnosis",5
"willingness","willingness",5
"Laboratory Abnormalities","Laboratory Abnormalities",5
"second_malignancy","second_malignancy",5
"abdominal_complications","abdominal_complications",5
"drug_reaction","drug_reaction",5
"Disease-Specific Exclusions","Disease-Specific Exclusions",5
"gi_obstruction","gi_obstruction",5
"biomarker_testing","biomarker_testing",5
"lesion","lesion",5
"immunosuppressive","immunosuppressive",5
"Bleeding Diathesis","Bleeding Diathesis",5
"cohort_b_specific","cohort_b_specific",5
"cohort_e_specific","cohort_e_specific",5
"age_module_specific","age_module_specific",5
"Ophthalmic Disease","Ophthalmic Disease",5
"Recent Exacerbation","Recent Exacerbation",5
"Prior Medications (within 3 weeks)","Prior Medications (within 3 weeks)",5
"Cognitive remediation intervention","Cognitive remediation intervention",5
"dietary","diet",4
"secondary_malignancy","second_malignancy",4
"lymphoma_type","lymphoma_type",4
"medication_intolerance","medication_intolerance",4
"treatment_initiation","treatment_initiation",4
"systemic_corticosteroid","systemic_corticosteroid",4
"pregnancy_breastfeeding","pregnancy_breastfeeding",4
"symptom_duration","symptom_duration",4
"ventilation","ventilation",4
"stability","stability",4
"recent_procedure","recent_procedure",4
"qt_prolongation","qt_prolongation",4
"intraocular_pressure","intraocular_pressure",4
"lactation","lactation",4
"tissue_sampling","tissue_sampling",4
"regional","regional",4
"sex","sex",4
"tumor_status","tumor_status",4
"prior_adverse_event","prior_adverse_event",4
"drug","drug",4
"prior_biopsy","prior_biopsy",4
"bilateral_disease","bilateral_disease",4
"cardiopulmonary","cardiopulmonary",4
"concomitant_condition","concomitant_condition",4
"antiviral","antiviral",4
"cognitive_function","cognitive_function",4
"ole_specific","ole_specific",4
"disease_histology","disease_histology",4
"thromboembolic_disease","thromboembolic_disease",4
"anc","anc",4
"corticosteroid_therapy","corticosteroid_therapy",4
"diagnosis_subset","diagnosis_subset",4
"diabetes_type","diabetes_type",4
"History of Malignancy","History of Malignancy",4
"Drug-Specific (Ipatasertib)","Drug-Specific (Ipatasertib)",4
"immunoglobulin","immunoglobulin",4
"resource","resource",4
"surgical_status","surgical_status",4
"thrombotic_event","thrombotic_event",4
"cohort","cohort",4
"risk_factor","risk_factor",4
"mutation_status","mutation_status",4
"prior_therapy_toxicity","prior_therapy_toxicity",4
"prior_study_enrollment","prior_study_enrollment",4
"lab_bilirubin","lab_bilirubin",4
"lab_platelet","lab_platelet",4
"gastric","gastric",4
"pancreatitis","pancreatitis",4
"QT Interval","QT Interval",4
"asthma","asthma",4
"cirrhosis","cirrhosis",4
"tumor_marker","tumor_marker",4
"CNS History","CNS History",4
"liver_biopsy","liver_biopsy",4
"retinopathy","retinopathy",4
"systemic_therapy","systemic_therapy",4
"cns_lesions","cns_lesions",4
"expansion_cohort","expansion_cohort",4
"symptom_onset","symptom_onset",4
"seizure_disorder","seizure_disorder",4
"genetic_syndrome","genetic_syndrome",4
"hormone_receptor","hormone_receptor",4
"non_study_eye","non_study_eye",4
"neurological_disease","neurological_disease",4
"transformation","transformation",4
"residual_disease","residual_disease",4
"growth","growth",4
"prior_clinical_trials","prior_clinical_trials",4
"disease_response","disease_response",4
"diabetic_retinopathy","diabetic_retinopathy",4
"tumor_specimen","tumor_specimen",4
"Other Medical Conditions","Other Medical Conditions",4
"symptom_scale","symptom_scale",4
"lab_results","lab_results",4
"radiation_therapy","radiation_therapy",4
"peripheral_neuropathy","peripheral_neuropathy",4
"etiology","etiology",4
"birth_history","birth_history",4
"tobacco_use","tobacco_use",4
"clinical_trial","clinical_trial",4
"systemic_infection","systemic_infection",4
"swallowing","swallowing",4
"contraception_requirement","contraception_requirement",4
"disease_manifestation","disease_manifestation",4
"Experimental drugs","Experimental drugs",4
"enrollment_status","enrollment_status",4
"bone_age","bone_age",4
"CNS Malignancy","CNS Malignancy",4
"cardiac_condition","cardiac_condition",4
"investigational","investigational",4
"dermatologic","dermatologic",4
"eye_condition","eye_condition",4
"active_malignancy","active_malignancy",4
"resectability","resectability",4
"retinal_condition","retinal_condition",4
"Prior Stem Cell Transplant","Prior Stem Cell Transplant",4
"Cerebrovascular Disease","Cerebrovascular Disease",4
"cohort_c_specific","cohort_c_specific",4
"cohort_d_specific","cohort_d_specific",4
"ECOG Performance Status","ECOG Performance Status",4
"Abdominal Fistula","Abdominal Fistula",4
"angiographic","angiographic",4
"concomitant_illness","concomitant_illness",4
"Prior Ocular Treatment","Prior Ocular Treatment",4
"Drug Allergies","drug_allergy",3
"infection_hiv","HIV infection",3
"protocol","protocol",3
"intolerance","intolerance",3
"joint_disease","joint_disease",3
"drug_resistance","drug_resistance",3
"organ_type","organ_type",3
"concurrent_disease","concurrent_disease",3
"psychological","psychological",3
"Organ Transplant Status","Organ Transplant Status",3
"Blood Pressure Control","Blood Pressure Control",3
"immunosuppressants","immunosuppressants",3
"acute_infection","acute_infection",3
"cardiovascular_history","cardiovascular_history",3
"blood_transfusion","blood_transfusion",3
"refraction","refraction",3
"fellow_eye","fellow_eye",3
"cardiac_dysfunction","cardiac_dysfunction",3
"transplant_type","transplant_type",3
"reproductive_potential","reproductive_potential",3
"testing","testing",3
"tolerability","tolerability",3
"disease_staging","disease_staging",3
"medical_fitness","medical_fitness",3
"kidney","kidney",3
"lab_criteria","lab_criteria",3
"genetic_marker","genetic_marker",3
"psychiatric_risk","psychiatric_risk",3
"sensory_function","sensory_function",3
"concomitant","concomitant",3
"setting","setting",3
"varices","varices",3
"platinum_resistance","platinum_resistance",3
"prior_response","prior_response",3
"neurotoxicity","neurotoxicity",3
"disease_marker","disease_marker",3
"prior_investigational_agent","prior_investigational_agent",3
"inhibitor_status","inhibitor_status",3
"thrombotic_risk","thrombotic_risk",3
"immunomodulator","immunomodulator",3
"dependency","dependency",3
"body_measurement","body_measurement",3
"study_population","study_population",3
"anterior_chamber","anterior_chamber",3
"Retinal Disease","Retinal Disease",3
"disease_grade","disease_grade",3
"dermatological","dermatological",3
"hematological","hematological",3
"drug_administration","drug_administration",3
"heart_rate","heart_rate",3
"prior_diagnosis","prior_diagnosis",3
"immunostimulation","immunostimulation",3
"prior_exposure","prior_exposure",3
"neurological_condition","neurological_condition",3
"prior_biologic","prior_biologic",3
"prior_biologic_therapy","prior_biologic_therapy",3
"oxygen_requirement","oxygen_requirement",3
"smoking_status","smoking_status",3
"hcv_genotype","hcv_genotype",3
"syndrome","syndrome",3
"physical_measurement","physical_measurement",3
"access","access",3
"prior_immunosuppression","prior_immunosuppression",3
"lab_hemoglobin","lab_hemoglobin",3
"lab_anc","lab_anc",3
"prior_vaccination","prior_vaccination",3
"ecog_status","ecog_status",3
"diagnostic_procedure","diagnostic_procedure",3
"cns_status","cns_status",3
"part_b_specific","part_b_specific",3
"diagnosis_copd","diagnosis_copd",3
"respiratory_infection","respiratory_infection",3
"patient_population","patient_population",3
"functional_assessment","functional_assessment",3
"corticosteroid_dose","corticosteroid_dose",3
"age_and_population","age_and_population",3
"liver_cirrhosis","liver_cirrhosis",3
"pregnancy_intent","pregnancy_intent",3
"prior_car_t","prior_car_t",3
"hcv_infection","hcv_infection",3
"gi_disorders","gi_disorders",3
"cyp3a_inhibitors","cyp3a_inhibitors",3
"variceal_bleeding","variceal_bleeding",3
"randomized_phase","randomized_phase",3
"organ_transplant_history","organ_transplant_history",3
"toxicity_history","toxicity_history",3
"Diseases/Symptoms","Diseases/Symptoms",3
"acute_condition","acute_condition",3
"hypoglycemia","hypoglycemia",3
"weight_change","weight_change",3
"cardiac_electrical","cardiac_electrical",3
"thyroid_disease","thyroid_disease",3
"treatment_decision","treatment_decision",3
"her2_expression","her2_expression",3
"ocular_history","ocular_history",3
"neutrophil_count","neutrophil_count",3
"Monoclonal Antibody Allergy","Monoclonal Antibody Allergy",3
"duration","duration",3
"tumor_assessment","tumor_assessment",3
"Tissue Specimen","Tissue Specimen",3
"hiv_serology","hiv_serology",3
"cataract","cataract",3
"bowel_disease","bowel_disease",3
"Prior Treatment Response","Prior Treatment Response",3
"Tumor Stage","Tumor Stage",3
"vascular_invasion","vascular_invasion",3
"hcc_subtype","hcc_subtype",3
"nsaid_use","nsaid_use",3
"device","device",3
"asthma_control","asthma_control",3
"Surgery Type","Surgery Type",3
"Blood Counts","Blood Counts",3
