clinical_event,rows,available
"Week 4 Day 22 - Mobile Nursing",1,1
"WEEK 60 RESC",1,1
"WK24 RE-TRT 2",1,1
"111",1,0
"21  RT 6 DAY 1",1,0
"21  RT 6 DAY 15",1,0
"21  RT 7 DAY 1",1,0
"45 Month",1,0
"9MFU",1,0
"ARM C CYCLE 21 D1",1,0
"AUCPOOL",1,0
"Baseline (Day -7 to -1)",1,0
"C11 DAY 1",1,0
"C15 D1 PRE P1B IV",1,0
"C17D15 -0.17H",1,0
"C18D1 -0.17H",1,0
"C19 DAY 1 PREDOSE",1,0
"C1D2S1NONBIOP",1,0
"C21D15 -0.17H",1,0
"C22D1 -0.17H",1,0
"C24D1C",1,0
"C27 D1 P1A",1,0
"C3D1 PRE WKLY DSE",1,0
"C4D1 Preinfusion",1,0
"C5 D1  PRE P1B IV",1,0
"C6D1 Predose",1,0
"Crossover C2XD1",1,0
"CTC",1,0
"CYCLE 1 WEEK 4",1,0
"Cycle 8 ay 1 Predose",1,0
"D 1",1,0
"DAY 15 EOI+1 HOUR",1,0
"DAY 15 PRE-DOSE",1,0
"Day 19 ",1,0
"DAY 1 RE-TRT 13",1,0
"Day 21 ",1,0
"DAY 224 VISIT 11",1,0
"EARLY DISCONTINUATION",1,0
"FU 36 WEEKS",1,0
"Histoguard TMA core Control",1,0
"Implant Post Refill Month 35 Day 7",1,0
"M6.5",1,0
"M66",1,0
"Maintenance Phase End of Cycle 2",1,0
"Medium Methylated DNA Control",1,0
"Monotherapy Phase End of Cycle 2",1,0
"Part A Week 2 Day 2",1,0
"PB-UN1",1,0
"Pooling Group 3",1,0
"Pooling Group 9",1,0
"Post Bypassing Treatment 4",1,0
"POST C8 F/U Trx2 PREDOSE",1,0
"QW C1 D4 OR D5",1,0
"QW C4 D1",1,0
"Retest M1",1,0
"RT D1",1,0
"RUND7",1,0
"S2C7D1",1,0
"S2C9D1",1,0
"SAFETY FOLLOW UP P1A",1,0
"SCRN 2 hours Post PK",1,0
"UNSCHEDULED1",1,0
"Unscheduled2",1,0
"V4 SM4/ ATA Serum",1,0
"V5.1",1,0
"Visit 1 ALIQUOT 1",1,0
"Week 1 Day -7",1,0
"Week 24/PD",1,0
"WK 104 RE-TRT 7 (or WITHDRAWAL)",2,0
